rho,precision,recall,f1,tpr,fpr,youden_j
0.02,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.025,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.030000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.035,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.04000000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.045000000000000005,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.05,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.05500000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.06000000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.06500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.07,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.07500000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.08000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.08500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.09000000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.09500000000000001,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.10000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.10500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.11000000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.11500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.12000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.12500000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.13,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.135,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.14,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.14500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.15000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.15500000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.16,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.165,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.17,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.17500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.18000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.18500000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.19000000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.19500000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.20000000000000004,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.20500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.21000000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.21500000000000002,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.22000000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.22500000000000003,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.23000000000000004,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
0.23500000000000004,0.5,1.0,0.6666666666666666,0.999999999999,0.999999999999,0.0
